Progress=100.0, SNR=5.00, Bit Errors=25, BER=9.765625E-003, Frame Errors= 8, FER=8.000000E-001, addNum=104580.00, mulNum=178220.10, total_num=282800.10, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=100.0, SNR=5.00, Bit Errors=25, BER=9.765625E-003, Frame Errors= 8, FER=8.000000E-001, addNum=104580.00, mulNum=178220.10, total_num=282800.10, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=100.0, SNR=5.00, Bit Errors= 5, BER=1.953125E-003, Frame Errors= 1, FER=1.000000E-001, addNum=188219.40, mulNum=186621.50, total_num=374840.90, Choice Errors= 0, CWR=0.000000E+000
Progress=1.1, SNR=0.00, Bit Errors=5792, BER=1.077381E-001, Frame Errors=210, FER=1.000000E+000, addNum=97179.52, mulNum=161688.32, total_num=258867.84, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=1.1, SNR=1.00, Bit Errors=4360, BER=8.110119E-002, Frame Errors=210, FER=1.000000E+000, addNum=106837.99, mulNum=166201.44, total_num=273039.43, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=1.1, SNR=2.00, Bit Errors=3380, BER=6.287202E-002, Frame Errors=210, FER=1.000000E+000, addNum=128523.72, mulNum=175004.50, total_num=303528.22, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=1.1, SNR=3.00, Bit Errors=2291, BER=4.181878E-002, Frame Errors=210, FER=9.813084E-001, addNum=142048.97, mulNum=182685.19, total_num=324734.16, Choice Errors= 0, CWR=0.000000E+000
Progress=1.5, SNR=4.00, Bit Errors=1600, BER=2.104377E-002, Frame Errors=210, FER=7.070707E-001, addNum=148107.79, mulNum=185902.65, total_num=334010.45, Choice Errors= 0, CWR=0.000000E+000
Progress=4.8, SNR=5.00, Bit Errors=1268, BER=5.170277E-003, Frame Errors=210, FER=2.192067E-001, addNum=176409.10, mulNum=187791.79, total_num=364200.89, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=5.00, Bit Errors=1883, BER=5.860931E-003, Frame Errors=310, FER=2.470120E-001, addNum=120446.98, mulNum=191653.54, total_num=312100.52, Choice Errors= 1, CWR=1.058201E-003, aver_iterNum=150.26
Progress=0.0, SNR=5.50, Bit Errors=1784, BER=2.016421E-003, Frame Errors=310, FER=8.969907E-002, addNum=120784.05, mulNum=189900.35, total_num=310684.40, Choice Errors= 2, CWR=6.357279E-004, aver_iterNum=150.15
Progress=0.0, SNR=6.00, Bit Errors=1677, BER=5.321080E-004, Frame Errors=310, FER=2.518073E-002, addNum=119732.46, mulNum=187146.66, total_num=306879.12, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.07
Progress=100.0, SNR=5.00, Bit Errors=51, BER=3.984375E-003, Frame Errors= 9, FER=1.800000E-001, addNum=121434.30, mulNum=192057.80, total_num=313492.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.32
Progress=100.0, SNR=5.50, Bit Errors=23, BER=1.796875E-003, Frame Errors= 4, FER=8.000000E-002, addNum=120094.06, mulNum=188626.38, total_num=308720.44, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.04
Progress=100.0, SNR=6.00, Bit Errors= 6, BER=4.687500E-004, Frame Errors= 1, FER=2.000000E-002, addNum=121108.64, mulNum=189290.46, total_num=310399.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.14
Progress=100.0, SNR=6.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=117027.38, mulNum=181898.52, total_num=298925.90, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.08
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=116205.08, mulNum=180741.52, total_num=296946.60, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=7.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113538.58, mulNum=175970.00, total_num=289508.58, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113900.74, mulNum=176653.40, total_num=290554.14, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=5.00, Bit Errors=51, BER=3.984375E-003, Frame Errors= 9, FER=1.800000E-001, addNum=121434.30, mulNum=192057.80, total_num=313492.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.32
Progress=100.0, SNR=5.50, Bit Errors=23, BER=1.796875E-003, Frame Errors= 4, FER=8.000000E-002, addNum=120094.06, mulNum=188626.38, total_num=308720.44, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.04
Progress=100.0, SNR=6.00, Bit Errors= 6, BER=4.687500E-004, Frame Errors= 1, FER=2.000000E-002, addNum=121108.64, mulNum=189290.46, total_num=310399.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.14
Progress=100.0, SNR=6.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=117027.38, mulNum=181898.52, total_num=298925.90, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.08
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=116205.08, mulNum=180741.52, total_num=296946.60, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=7.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113538.58, mulNum=175970.00, total_num=289508.58, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113900.74, mulNum=176653.40, total_num=290554.14, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113486.94, mulNum=175971.10, total_num=289458.04, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=9.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=112881.84, mulNum=175015.92, total_num=287897.76, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=9.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=112389.94, mulNum=173732.48, total_num=286122.42, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=10.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=107467.36, mulNum=164543.86, total_num=272011.22, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=5.00, Bit Errors=51, BER=3.984375E-003, Frame Errors= 9, FER=1.800000E-001, addNum=121434.30, mulNum=192057.80, total_num=313492.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.32
Progress=100.0, SNR=5.50, Bit Errors=23, BER=1.796875E-003, Frame Errors= 4, FER=8.000000E-002, addNum=120094.06, mulNum=188626.38, total_num=308720.44, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.04
Progress=100.0, SNR=6.00, Bit Errors= 6, BER=4.687500E-004, Frame Errors= 1, FER=2.000000E-002, addNum=121108.64, mulNum=189290.46, total_num=310399.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.14
Progress=100.0, SNR=6.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=117027.38, mulNum=181898.52, total_num=298925.90, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.08
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=116205.08, mulNum=180741.52, total_num=296946.60, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=7.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113538.58, mulNum=175970.00, total_num=289508.58, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113900.74, mulNum=176653.40, total_num=290554.14, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113486.94, mulNum=175971.10, total_num=289458.04, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=9.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=112881.84, mulNum=175015.92, total_num=287897.76, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=9.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=112389.94, mulNum=173732.48, total_num=286122.42, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=10.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=107467.36, mulNum=164543.86, total_num=272011.22, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=5.00, Bit Errors=51, BER=3.984375E-003, Frame Errors= 9, FER=1.800000E-001, addNum=121434.30, mulNum=192057.80, total_num=313492.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.32
Progress=100.0, SNR=5.50, Bit Errors=23, BER=1.796875E-003, Frame Errors= 4, FER=8.000000E-002, addNum=120094.06, mulNum=188626.38, total_num=308720.44, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.04
Progress=100.0, SNR=6.00, Bit Errors= 6, BER=4.687500E-004, Frame Errors= 1, FER=2.000000E-002, addNum=121108.64, mulNum=189290.46, total_num=310399.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.14
Progress=100.0, SNR=6.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=117027.38, mulNum=181898.52, total_num=298925.90, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.08
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=116205.08, mulNum=180741.52, total_num=296946.60, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=7.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113538.58, mulNum=175970.00, total_num=289508.58, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113900.74, mulNum=176653.40, total_num=290554.14, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113486.94, mulNum=175971.10, total_num=289458.04, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=9.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=112881.84, mulNum=175015.92, total_num=287897.76, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=9.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=112389.94, mulNum=173732.48, total_num=286122.42, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=10.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=107467.36, mulNum=164543.86, total_num=272011.22, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=5.00, Bit Errors=51, BER=3.984375E-003, Frame Errors= 9, FER=1.800000E-001, addNum=121434.30, mulNum=192057.80, total_num=313492.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.32
Progress=100.0, SNR=5.50, Bit Errors=23, BER=1.796875E-003, Frame Errors= 4, FER=8.000000E-002, addNum=120094.06, mulNum=188626.38, total_num=308720.44, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.04
Progress=100.0, SNR=6.00, Bit Errors= 6, BER=4.687500E-004, Frame Errors= 1, FER=2.000000E-002, addNum=121108.64, mulNum=189290.46, total_num=310399.10, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.14
Progress=100.0, SNR=6.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=117027.38, mulNum=181898.52, total_num=298925.90, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.08
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=116205.08, mulNum=180741.52, total_num=296946.60, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=7.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113538.58, mulNum=175970.00, total_num=289508.58, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113900.74, mulNum=176653.40, total_num=290554.14, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=8.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=113486.94, mulNum=175971.10, total_num=289458.04, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=9.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=112881.84, mulNum=175015.92, total_num=287897.76, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=9.50, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=112389.94, mulNum=173732.48, total_num=286122.42, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
Progress=100.0, SNR=10.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=107467.36, mulNum=164543.86, total_num=272011.22, Choice Errors= 0, CWR=0.000000E+000, aver_iterNum=150.00
